ID,Municipality,Project Name,Status,Entity,Region,Project Type
5877,Rockport,1 kW at Halibut Point State Park,Complete,Department of Conservation and Recreation,Northeast,Solar PV (Roof)
4849,Maynard,1.2 MW solar PV at landfill,Complete,"EPG Solar, LLC",Central,Solar PV (Ground)
5866,Bridgewater,100 kW at MCI Bridgewater,Complete,Department of Correction,Southeast,Solar PV (Ground)
5868,Norfolk,100 kW at MCI Norfolk,Complete,Department of Correction,Central,Solar PV (Ground)
699,Fall River,100.1 kW system,Complete,Blount Seafood Corporation,Southeast,Solar PV (Roof)
710,Falmouth,100.3 KW Solar PV,Complete,R and P Falmouth Trust,Southeast,Solar PV (Roof)
713,Plymouth,100.8 kW system,Complete,4M 6 Resnick,Southeast,Solar PV (Roof)
769,Lunenburg,102 kW Solar PV Turkey Hill MS,Complete,Lunenburg,Central,Solar PV (Roof)
4654,Fairhaven,102.71 kW - three roof arrays at WWTP buildings,Complete,Fairhaven,Southeast,Solar PV (Roof)
732,Concord,103 KW Solar PV,Complete,Department of Correction,Northeast,Solar PV (Ground)
736,Walpole,103 KW Solar PV,Complete,Department of Correction,Southeast,Solar PV (Roof)
635,Northampton,106.6 kW solar PV at Smith Ag & Voc School,Complete,Northampton,Western,Solar PV (Roof)
670,West Brookfield,107.1 KW Solar PV at Elementary School,Complete,West Brookfield,Central,Solar PV (Roof)
700,Beverly,110.3 kW,Complete,Aero Manufacturing Corp.,Northeast,Solar PV (Roof)
654,Framingham,110.3 kW PV at 10 Roxanna Street,Complete,"Ratner Realty, LLC",Northeast,Solar PV (Roof)
662,Warren,110.3 kW PV at Quaboag Regional High/Middle School,Complete,Quaboag Regional School District,Western,Solar PV (Roof)
675,Warren,110.3 kW PV at Warren Community Elementary School,Complete,Warren,Western,Solar PV (Roof)
750,Westfield,111 KW Solar PV,Complete,Westfield State University,Western,Solar PV (Roof)
718,Springfield,111.4 kW system at 1295 State Street F335,Complete,Massachusetts Mutual Life Insurance Company,Western,Solar PV (Roof)
696,Hanover,116.1 kW PV at 24 Rockland Street,Complete,"RD Matthews Construction Company, Inc.",Southeast,Solar PV (Roof)
777,Orleans,12 kW Solar PV at Council on Aging,Complete,Orleans,Southeast,Solar PV (Roof)
683,West Bridgewater,12.6 kW PV at 60 Lincoln Street,Complete,Urban PV Project,Southeast,Solar PV (Roof)
705,Fairhaven,121.3 kW system on Dock Bldg,Complete,"Harbor Blue Seafood, Inc. dba Olde Wharf Fish, LLC",Southeast,Solar PV (Roof)
668,Barnstable,13.9 KW Solar PV,Complete,Housing Assistance Corporation,Southeast,Solar PV (Roof)
698,Taunton,14.7 KW Solar PV,Complete,"First Taunton Group, Inc.",Southeast,Solar PV (Roof)
690,Edgartown,14.7 kW system at 100 Felix Neck Drive,Complete,Massachusetts Audubon Society,Southeast,Solar PV (Roof)
702,Mashpee,140.8 kW system,Complete,"Anchor Self Storage of Mashpee, LLC",Southeast,Solar PV (Roof)
743,Salem,148 kW Solar PV,Complete,Salem State University,Northeast,Solar PV (Roof)
761,Egremont,15 kW Solar PV Hwy Garage Bldg,Complete,Egremont,Western,Solar PV (Roof)
655,Charlton,15.1 kW system at 19 Harrington Road,Complete,Natures Classroom,Central,Solar PV (Roof)
733,Norfolk,154 KW Solar PV,Complete,Department of Correction,Central,Solar PV (Roof)
4847,Norfolk,1598.48 kW solar PV at landfill,Complete,"Constellation Solar Massachusetts, LLC",Central,Solar PV (Ground)
5857,Boston,15kW at State House,Complete,Bureau of State Office Buildings,Northeast,Solar PV (Roof)
755,Ashburnham,17 kW Solar PV Oakmont Reg HS,Complete,Ashburnham,Central,Solar PV (Roof)
759,Dennis,17 kW Solar PV Police Station,Complete,Dennis,Southeast,Solar PV (Roof)
754,Ashburnham,17 kW Solar PV Public Safety,Complete,Ashburnham,Central,Solar PV (Roof)
706,Chilmark,17.3 kW at 22 South Rd,Complete,"Grey Barn Real Estate Holdings, LLC 3",Southeast,Solar PV (Roof)
780,Rowe,18 kW pole-mounted Solar PV at Elementary School,Complete,Rowe,Western,Solar PV (Carport)
765,Harwich,18 kW Solar PV at Police Dept,Complete,Harwich,Southeast,Solar PV (Roof)
760,Edgartown,18 kW Solar PV at WWTP,Complete,Edgartown,Southeast,Solar PV (Roof)
3799,Shirley,18 Phoenix Park 506 kW Solar PV,Complete,18 Phoenix Park,Central,Solar PV (Ground)
695,Carver,18.9 kW system,Complete,Edgewood Bogs,Southeast,Solar PV (Roof)
707,Mashpee,181.5 kW system,Complete,"Coastal Sun Self Storage, LLC",Southeast,Solar PV (Roof)
691,Yarmouth,183.6 kW system at 511 Main Street,Complete,Luke's Market,Southeast,Solar PV (Roof)
703,New Bedford,194.4 kW system at 651 Orchard St,Complete,Howland Place LTD,Southeast,Solar PV (Roof)
657,Boston,197.3 kW system,Complete,Boston College High School,Northeast,Solar PV (Roof)
673,Chelsea,197.3 kW system,Complete,"Eastern Avenue Holdings, LLC",Northeast,Solar PV (Roof)
667,Lowell,197.3 kW system,Complete,BPV Lowell LLC,Northeast,Solar PV (Roof)
653,Boston,198.5 kW system,Complete,Greater Boston Food Bank,Northeast,Solar PV (Roof)
751,Acushnet,20 kW Solar PV Fire Station #1,Complete,Acushnet,Southeast,Solar PV (Roof)
3947,Bellingham,20.7 kW solar in Zone I Well 12G,Complete,Bellingham,Central,Solar PV (Ground)
5871,Boston,200 kW at Logan Airport Terminal B Garage,Complete,Mass Port Authority,Northeast,Solar PV (Roof)
784,Sutton,202 kW Solar PV at Simonian Early Childhood Ctr,Complete,Sutton,Central,Solar PV (Roof)
834,New Salem,20kw solar pv,Complete,New Salem,Western,Solar PV (Ground)
774,North Andover,21 kW Solar PV HS,Complete,North Andover,Northeast,Solar PV (Roof)
717,Chatham,21.4 kW system at 550 Training Field Road,Complete,Pleasant Bay Village Motor Court,Southeast,Solar PV (Roof)
735,Shirley,210 KW Solar PV,Complete,Department of Correction,Central,Solar PV (Ground)
762,Falmouth,22 kW Solar PV at Town Hall,Complete,Falmouth,Southeast,Solar PV (Roof)
3717,Easthampton,2260.7 kW Solar PV - Landfill Easthampton,Complete,Easthampton,Western,Solar PV (Ground)
709,Chilmark,24.0 kW system at 22 South Rd,Complete,"Grey Barn Real Estate Holdings, LLC 2",Southeast,Solar PV (Roof)
701,Wayland,24.8 kW PV at 397 Boston Post Rd,Complete,Russells Garden Center,Northeast,Solar PV (Roof)
793,Boston,241.92 kW system,Complete,Boston Water & Sewer Commission,Northeast,Solar PV (Roof)
740,Lowell,246 kW Solar PV,Complete,UMass Lowell,Northeast,Solar PV (Roof)
785,Truro,25 kW Solar PV at Central Elementary School,Complete,Truro,Southeast,Solar PV (Roof)
212,Greenfield,255 Federal St  Biomass Conversion from Fuel Oil,Complete,"A.R. Sandri, Inc.",Western,Biomass Thermal
775,Norton,26 kW Solar PV at Middle School,Complete,Norton,Southeast,Solar PV (Roof)
678,Quincy,26.0 kW system at 549 South Street,Complete,Jay Cashman Inc.,Northeast,Solar PV (Roof)
665,Chelmsford,26.7 kW system at 1 Technology Dr.,Complete,Princeton Commons,Northeast,Solar PV (Roof)
693,Chilmark,26.7 kW system at 22 South Road,Complete,"Grey Barn Real Estate Holdings, LLC 1",Southeast,Solar PV (Roof)
741,Dartmouth,268.8 kW PV at 285 Old Westport Rd,Complete,UMass Dartmouth,Southeast,Solar PV (Roof)
5859,Barnstable,27 kW at Cape Cod Community College,Complete,Cape Cod Community College,Southeast,Solar PV (Carport)
757,Chelmsford,27 kW Solar PV HS,Complete,Chelmsford,Northeast,Solar PV (Roof)
3765,Mendon,28 Hastings Street Corp. 100 kW Solar PV,Complete,28 Hastings Street Corp.,Central,Solar PV (Roof)
772,Milton,28 kW Solar PV at Town Hall,Complete,Milton,Northeast,Solar PV (Roof)
689,Watertown,28.4 kW PV at Police Station,Complete,Watertown,Northeast,Solar PV (Roof)
694,Swansea,28.4 kW system,Complete,GAR Swansea Liquor Inc.,Southeast,Solar PV (Roof)
660,Barnstable,28.4 kW system,Complete,Asclepius Corp,Southeast,Solar PV (Roof)
788,Wellfleet,29 kW Solar PV at Fire Station,Complete,Wellfleet,Southeast,Solar PV (Roof)
4723,Dartmouth,2MW New Bedford Business Park Solar Field,Complete,Dartmouth,Southeast,Solar PV (Ground)
781,Seekonk,30 kW Solar PV at Public Works Garage,Complete,Seekonk,Southeast,Solar PV (Roof)
779,Rockland,30 kW Solar PV at R. Stewart Esten ES,Complete,Rockland,Southeast,Solar PV (Roof)
764,Grafton,30 kW Solar PV HS,Complete,Grafton,Central,Solar PV (Roof)
4888,Natick,302.4 kW Solar PV PPA GC Des Grant buy-down,Complete,Natick,Northeast,Solar PV (Roof)
4815,Attleboro,31 Benner Place/Ground Source Heat Pump,Complete,,Southeast,Geothermal
5861,Boston,31.5 kW at George's Island,Complete,Department of Conservation and Recreation,Northeast,Solar PV (Roof)
5881,Mashpee,312 kW Mashpee High School,Complete,Mashpee,Southeast,Solar PV (Roof)
719,Newbury,32.3 kW PV at 1 Elm Street Alumni Gymnasium,Complete,The Governor's Academy,Northeast,Solar PV (Roof)
4816,Edgartown,33 Boldwater Road/Ground Source Heat Pump,Complete,Edgartown,Southeast,Geothermal
768,Ipswich,33 kW Solar PV at Town Hall,Complete,Ipswich,Northeast,Solar PV (Roof)
652,Dennis,"34.7 kW system at Main Building, 465 Route 134",Complete,Nickerson Lumber Company,Southeast,Solar PV (Roof)
5865,Danvers,340 kW at North Shore Community College,Complete,North Shore Community College,Northeast,Solar PV (Roof)
4848,Norfolk,343.98kW solar PV on landfill,Complete,"Constellation Solar Massachusetts, LLC",Central,Solar PV (Ground)
5880,Foxborough,35 kW Foxborough Highway Dept,Complete,Foxborough,Southeast,Solar PV (Roof)
715,Fairhaven,35.3 kW systemon Shed,Complete,"Harbor Blue Seafood, Inc. dba Olde Wharf Fish, LLC",Southeast,Solar PV (Roof)
688,Boston,36.8 kW PV at 1680 VFW Parkway,Complete,VFW Parkway Car Wash,Northeast,Solar PV (Roof)
729,Boston,367 KW Solar PV - PPA,Complete,Mass Port Authority,Northeast,Solar PV (Roof)
636,Chelmsford,37 kW Chelmsford Middle School Solar PV,Complete,Chelmsford,Northeast,Solar PV (Roof)
721,Worcester,37 Main Street 10.8 kW PV,Complete,"First Taunton Group, Inc.",Central,Solar PV (Roof)
711,Amherst,37.3 kW system on Music and Dance Building,Complete,Hampshire College,Western,Solar PV (Roof)
737,Brockton,370 W roof-mounted solar PV sy,Complete,Massasoit Community College,Southeast,Solar PV (Roof)
773,North Adams,38 kW Solar PV Drury HS NBerkVocRSD,Complete,Northern Berkshire Vocational Regional School District,Western,Solar PV (Roof)
789,Westford,39 kW Solar PV at Stonybrook Middle School,Complete,Westford,Northeast,Solar PV (Roof)
753,Amesbury,39 kW Solar PV HS,Complete,Amesbury,Northeast,Solar PV (Roof)
4706,Townsend,39.27 kW solar array at Harbor Trace Pump Station,Complete,Townsend,Central,Solar PV (Ground)
716,Hopkinton,39.3 kW  system,Complete,"Honey Hill Farms, LLC",Central,Solar PV (Roof)
747,Pittsfield,394 kW roof-mounted solar PV s,Complete,Berkshire Community College,Western,Solar PV (Roof)
5882,West Newbury,4 kW PipeStave/DPW,Complete,West Newbury,Northeast,Solar PV (Roof)
778,Rehoboth,41 kW Solar PV at Highway Dept,Complete,Rehoboth,Southeast,Solar PV (Roof)
659,Barnstable,41.4 kW PV at 20 Independance Drive,Complete,Rogers and Gray Insurance Agency Inc.,Southeast,Solar PV (Roof)
704,Lakeville,41.4 kW PV at 57 Long Point Road,Complete,Island Terrace Nursing Home,Southeast,Solar PV (Ground)
672,Chelsea,41.7 kW system,Complete,"Atlas Historic Development, LLC",Northeast,Solar PV (Roof)
714,Deerfield,44.9 kW system,Complete,Deerfield,Western,Solar PV (Roof)
687,West Springfield,44.9 kW system,Complete,Gandara Center Org,Western,Solar PV (Roof)
731,Winthrop,455 kW solar PV at Deer Island,Complete,MWRA,Northeast,Solar PV (Roof)
742,Milton,48 kW ground-mounted solar PV,Complete,Department of Conservation and Recreation,Northeast,Solar PV (Roof)
758,Concord,48 kW Solar PV at Willard ES,Complete,Concord,Northeast,Solar PV (Roof)
720,Greenfield,48.6 kW Solar PV System,Complete,"A.R. Sandri, Inc.",Western,Solar PV (Roof)
669,Westborough,49.7 kW system,Complete,DJ Realty Trust,Central,Solar PV (Roof)
656,Westborough,49.8 kW system,Complete,DJ Realty Trust,Central,Solar PV (Roof)
782,Shutesbury,5 kW Solar PV at Town Hall,Complete,Shutesbury,Western,Solar PV (Roof)
686,Princeton,5.1 kW system Princeton Ground Mounted,Complete,Massachusetts Audubon Society,Central,Solar PV (Ground)
4671,Canton,5.6 MW Canton Landfill Solar Project,Complete,Canton,Southeast,Solar PV (Ground)
787,Wellesley,50 kW Solar PV at MLP Garage,Complete,Wellesley,Northeast,Solar PV (Roof)
5876,Wrentham,500 kW at Hogan/Wrentham,Complete,Department of Developmental Services,Southeast,Solar PV (Ground)
786,Watertown,51 kW Solar PV at Public Works,Complete,Watertown,Northeast,Solar PV (Roof)
3791,Attleboro,527 Pleasant Street LLC 110 kW Solar PV,Complete,527 Pleasant Street LLC,Southeast,Solar PV (Roof)
776,Norwell,54 kW Solar PV at Middle School,Complete,Norwell,Southeast,Solar PV (Roof)
684,Fall River,59.2 kW PV at 994 Jefferson Street,Complete,Spectrum Lighting,Southeast,Solar PV (Roof)
666,Barnstable,59.5 KW Solar PV,Complete,Cape Cod Cooperative Bank,Southeast,Solar PV (Roof)
794,Boston,591.5 kW system (Gordon Track),Complete,Harvard University,Northeast,Solar PV (Roof)
685,Princeton,6.0 kW system at Princeton Hay Day Barn,Complete,Massachusetts Audubon Society,Central,Solar PV (Roof)
677,Boston,6.2 kW PV at 2080 William J Day Blvd,Complete,Sullivan's Castle Island LLC,Northeast,Solar PV (Roof)
681,Barnstable,6.4 kW system at 309 B South St.,Complete,Housing Assistance Corporation,Southeast,Solar PV (Roof)
658,Yarmouth,6.7 kW PV at 196 Old Townhouse Rd,Complete,Willaims Building Company,Southeast,Solar PV (Roof)
5867,Concord,60 kW at MCI Concord,Complete,Department of Correction,Northeast,Solar PV (Ground)
5872,Dartmouth,600 kW at UMass Dartmouth,Complete,UMass Dartmouth,Southeast,Wind
5864,Danvers,61 kW at North Shore Community College,Complete,North Shore Community College,Northeast,Solar PV (Roof)
