capacity_DC,SiteCity,SiteState,SiteZip_5_digit,FacilityType,dateinservice
26.4,Falmouth,Massachusetts,02540,Commercial / Office,9/26/2003
2.2,Boston,Massachusetts,02132,Residential (3 or fewer dwelling units per building),4/17/2003
2.2,Newton,Massachusetts,02458,Residential (3 or fewer dwelling units per building),5/5/2003
2.2,Newton,Massachusetts,02459,Residential (3 or fewer dwelling units per building),6/25/2003
2.1,Newton,Massachusetts,02464,Residential (3 or fewer dwelling units per building),5/5/2003
2.2,Newton,Massachusetts,02460,Residential (3 or fewer dwelling units per building),5/15/2003
2.1,Newton,Massachusetts,02465,Residential (3 or fewer dwelling units per building),6/13/2003
2.24,Tisbury,Massachusetts,02568,Residential (3 or fewer dwelling units per building),5/9/2003
3.032,Boston,Massachusetts,02126,Commercial / Office,6/6/2003
1.28,Chilmark,Massachusetts,02535,Retail,6/18/2003
1.92,West Tisbury,Massachusetts,02575,Residential (3 or fewer dwelling units per building),7/8/2003
1.2,Newton,Massachusetts,02464,Residential (3 or fewer dwelling units per building),6/25/2003
1.28,Oak Bluffs,Massachusetts,02557,Residential (3 or fewer dwelling units per building),8/14/2003
1.28,West Tisbury,Massachusetts,02575,Residential (3 or fewer dwelling units per building),7/22/2003
1.2,Barnstable,Massachusetts,02630,Residential (3 or fewer dwelling units per building),10/31/2003
2.4,Sandwich,Massachusetts,02563,Residential (3 or fewer dwelling units per building),10/6/2003
1.2,Eastham,Massachusetts,02642,Residential (3 or fewer dwelling units per building),9/12/2003
2.2,Cambridge,Massachusetts,02138,Residential (3 or fewer dwelling units per building),7/11/2003
1.32,Wrentham,Massachusetts,02093,Residential (3 or fewer dwelling units per building),9/4/2003
21.6,Boston,Massachusetts,02215,School (K-12),12/17/2002
1.28,West Tisbury,Massachusetts,02575,Residential (3 or fewer dwelling units per building),9/6/2003
2.64,Watertown,Massachusetts,02472,Residential (3 or fewer dwelling units per building),11/7/2003
2.76,Waltham,Massachusetts,02451,Residential (3 or fewer dwelling units per building),1/5/2004
1.8,Falmouth,Massachusetts,02536,Residential (3 or fewer dwelling units per building),9/5/2003
1.32,Cambridge,Massachusetts,02140,Residential (3 or fewer dwelling units per building),10/15/2003
1.38,Arlington,Massachusetts,02476,Residential (3 or fewer dwelling units per building),5/18/2004
2.64,Arlington,Massachusetts,02476,Residential (3 or fewer dwelling units per building),8/18/2003
2.53,Arlington,Massachusetts,02474,Residential (3 or fewer dwelling units per building),1/7/2004
7.2,Cambridge,Massachusetts,02139,College / University,7/25/2003
2.22,Montague,Massachusetts,01351,Residential (3 or fewer dwelling units per building),8/27/2003
1.2,Newton,Massachusetts,02465,Residential (3 or fewer dwelling units per building),8/13/2003
